location,total_vaccinations,people_vaccinated,total_boosters,population,continent,latitude,longitude,total_cases,total_deaths,new_cases,new_deaths
Bulgaria,4323390.0,2073249.0,702776.0,6896655.0,Europe,42.733883,25.48583,234970952.0,9189510.0,1107888.0,35995.0
Burkina Faso,2330052.0,2117997.0,,21497097.0,Africa,12.238333,-1.561593,6754555.0,104814.0,20751.0,375.0
Burundi,11860.0,10071.0,,12255429.0,Africa,-3.373056,29.918886,5974968.0,9761.0,38209.0,38.0
Cambodia,36305981.0,14750100.0,8727957.0,16946446.0,Asia,12.565679,104.990963,29301856.0,629380.0,133263.0,3043.0
Cameroon,1273072.0,1074824.0,,27224262.0,Africa,7.369722,12.354722,38929247.0,649745.0,119322.0,1926.0
Canada,81666740.0,32635559.0,18003414.0,38067913.0,North America,56.130366,-106.346771,744730645.0,14285858.0,3356440.0,37207.0
Cape Verde,719120.0,353747.0,,561901.0,Africa,16.002082,-24.013197,15363824.0,133248.0,55904.0,402.0
Cayman Islands,143257.0,61502.0,,66498.0,North America,19.513469,-80.566956,1649659.0,2358.0,19811.0,18.0
Central African Republic,946264.0,865113.0,,4919987.0,Africa,6.611111,20.939444,4882006.0,51413.0,14320.0,113.0
Chad,412309.0,276118.0,,16914985.0,Africa,15.454166,18.732207,2460161.0,92063.0,7260.0,190.0
Chile,49401767.0,17828485.0,14864259.0,19212362.0,South America,-35.675147,-71.542969,750810382.0,16268489.0,3230793.0,43496.0
China,3193236000.0,1269302000.0,554728000.0,1444216102.0,Asia,35.86166,104.195397,68697722.0,3406510.0,111609.0,4640.0
Colombia,78682668.0,41562091.0,9293334.0,51265841.0,South America,4.570868,-74.297333,1935862460.0,49178276.0,6074155.0,139189.0
Comoros,637961.0,341102.0,,888456.0,Africa,-11.875001,43.872219,2023218.0,62269.0,8051.0,161.0
Cook Islands,27717.0,14930.0,,17572.0,Oceania,-21.236736,-159.777671,390.0,0.0,2.0,0.0
Costa Rica,9582303.0,4235270.0,1487215.0,5139053.0,North America,9.748917,-83.753428,198413116.0,2417259.0,820445.0,8142.0
Croatia,5209274.0,2308528.0,594785.0,4081657.0,Europe,45.1,15.2,209886496.0,3960515.0,1067589.0,15276.0
Cuba,35152122.0,10619533.0,6087182.0,11317498.0,North America,21.521757,-77.781167,222094221.0,1829828.0,1074469.0,8503.0
Cyprus,1773485.0,687926.0,440267.0,896005.0,Europe,35.126413,33.429859,50074772.0,204664.0,341383.0,886.0
Denmark,13141067.0,4843036.0,3603086.0,5813302.0,Europe,56.26392,9.501785,253789829.0,1362373.0,2910722.0,4954.0
Djibouti,160742.0,140287.0,,1002197.0,Africa,11.825138,42.590275,6109753.0,74941.0,15564.0,189.0
Dominica,62015.0,32251.0,,72172.0,North America,15.414999,-61.370976,1274712.0,7054.0,11496.0,62.0
Dominican Republic,15354971.0,7155942.0,2256290.0,10953714.0,North America,18.735693,-70.162651,171258538.0,2005335.0,576220.0,4372.0
